Event_ID,Observation_date,Processed_date,Year,Month,Location_type,Handling_days,Title,Observation
1,2024-01-10,2024-01-11,2024,1,Production facility,1,Water puddle in corridor,"There was a small puddle of water on the floor of the packaging department, creating a slipping hazard."
2,2024-01-18,2024-01-19,2024,1,Other / Unknown,1,Loose handrail on stairs,The handrail on the metal stairs between production areas was dangerously loose; its fastening had failed.
3,2024-01-25,2024-01-26,2024,1,Outdoor area,1,Inadequate protective equipment,An employee was handling a powdery substance in the cleanroom without a respirator.
4,2024-02-02,2024-02-03,2024,2,Production facility,1,Items left on stairs,"Empty boxes had been left on the top landing of the stairs leading to the warehouse, posing a tripping hazard."
5,2024-02-09,2024-02-10,2024,2,Office space,1,Chemical spill on floor,A small amount of unknown chemical was on the laboratory floor with no warning signage.
6,2024-02-16,2024-02-17,2024,2,Office space,1,Emergency stop button covered,"A movable cart had been placed in front of the mixing unit’s emergency stop button, preventing quick use."
7,2024-02-23,2024-02-24,2024,2,Office space,1,Slippery stair step,One step on the stairs leading to the maintenance platform was worn and dangerously slippery.
8,2024-03-01,2024-03-02,2024,3,Outdoor area,1,Heavy lift without lifting aid,A warehouse worker lifted a heavy raw-material sack alone without any lifting aid.
9,2024-03-08,2024-03-09,2024,3,Production facility,1,Fire escape blocked,"A pallet of cardboard waste was standing in front of the emergency exit route, narrowing the passage."
10,2024-03-15,2024-03-16,2024,3,Outdoor area,1,Broken power socket,"The casing of a power socket in the changing room was cracked, creating a risk of electric shock."
11,2024-03-22,2024-03-23,2024,3,Office space,1,Inadequate lighting in stairwell,Lighting in the stairwell leading to the basement was insufficient; one light bulb was burnt out.
12,2024-03-29,2024-03-30,2024,3,Other / Unknown,1,Sharp edge at workstation,The metal work surface on the packaging line had a sharp edge that could cause injury.
13,2024-04-05,2024-04-06,2024,4,Outdoor area,1,Tools left on floor,"After maintenance work, a wrench and screwdrivers had been left lying on the floor."
14,2024-04-12,2024-04-13,2024,4,Office space,1,Liquid spill on stairs,"Coffee had been spilled on the stairs leading to the break room, causing a slipping hazard."
15,2024-04-19,2024-04-20,2024,4,Office space,1,Dust accumulated in electrical cabinet,"A large amount of dust had accumulated inside an old electrical cabinet in the production area, posing a fire risk."
16,2024-04-26,2024-04-27,2024,4,Office space,1,Incorrect waste sorting,Reactive chemical waste had been placed in the regular laboratory waste container.
17,2024-05-03,2024-05-04,2024,5,Office space,1,Running on stairs,An employee was observed running down the office stairway.
18,2024-05-10,2024-05-11,2024,5,Production facility,1,Gas cylinders not properly secured,Gas cylinders in the laboratory were standing freely against the wall without a chain or rack.
19,2024-05-17,2024-05-18,2024,5,Production facility,1,Overloaded storage shelf,More goods had been stacked on a storage shelf than its load limit allows.
20,2024-05-24,2024-05-25,2024,5,Office space,1,Worn cleanroom floor surface,"The cleanroom floor coating was worn through, making cleaning difficult and creating a tripping hazard."
21,2024-05-31,2024-06-01,2024,5,Production facility,1,Anti-slip tape coming off step,Anti-slip tape had come loose and was hanging from the edge of the step leading to the outside door.
22,2024-06-07,2024-06-10,2024,6,Office space,3,Damaged extension cord,"The insulation of an extension cord in the office was broken, exposing the inner wires."
23,2024-06-14,2024-06-15,2024,6,Office space,1,Expired eyewash bottle,The expiry date on the eyewash bottle at the emergency shower point had passed.
24,2024-06-21,2024-06-24,2024,6,Production facility,3,Forklift speeding in warehouse,A forklift driver in the warehouse area was clearly driving above the permitted speed limit.
25,2024-06-28,2024-07-01,2024,6,Production facility,3,Carrying load blocking view on stairs,An employee carried a large box that completely blocked their view while going up the stairs.
